Regions,Disparity Ratio_Full Time_BABS_NBWNH-FBRace,Score_Full Time_BABS_NBWNH-FBRace,Grades_Full Time_BABS_NBWNH-FBRace,Disparity Ratio-Unemployment_BABS_NBWNH-FBRace,Score_Unemployment_BABS_NBWNH-FBRace,Grades_Unemployment_BABS_NBWNH-FBRace,Disparity Ratio_Poverty_BABS_NBWNH-FBRace,Score_Poverty_BABS_NBWNH-FBRace,Grades_Poverty_BABS_NBWNH-FBRace,Disparity Ratio_Working Poor_BABS_NBWNH-FBRace,Score_Working Poor_BABS_NBWNH-FBRace,Grades_Working Poor_BABS_NBWNH-FBRace,Disparity Ratio-Income_BABS_NBWNH-FBRace,Score_Income_BABS_NBWNH-FBRace,Grades_Income_BABS_NBWNH-FBRace,Disparity Ratio-Rent Burden_BABS_NBWNH-FBRace,Score_Rent Burden_BABS_NBWNH-FBRace,Grades_Rent Burden_BABS_NBWNH-FBRace,Disparity Ratio_Homeownership_BABS_NBWNH-FBRace,Score_Homeownership_BABS_NBWNH-FBRace,Grades_Homeownership_BABS_NBWNH-FBRace
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",0.80,-0.96,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.40,-0.91,D,#DIV/0!,#DIV/0!,#DIV/0!,0.79,-0.13,C
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",0.90,-0.47,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2.38,2.92,A,0.39,0.30,B-,#DIV/0!,#DIV/0!,#DIV/0!
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",0.93,-0.33,C-,2.34,-0.19,C,1.15,0.29,B-,2.54,0.18,C,0.45,-0.81,D,0.02,0.49,B-,0.10,-1.97,E
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",1.14,0.64,B-,2.60,-0.26,C-,2.58,0.05,C,2.78,0.17,C,0.40,-0.91,D,#DIV/0!,#DIV/0!,#DIV/0!,0.36,-1.27,D-
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",0.89,-0.51,C-,0.00,0.41,B-,6.91,-0.68,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.56,-0.59,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.07,0.61,B-
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",0.92,-0.39,C-,2.89,-0.33,C-,0.91,0.33,B-,1.26,0.26,B-,0.75,-0.23,C,0.05,0.48,B-,0.77,-0.20,C
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",1.00,-0.02,C,0.00,0.41,B-,0.86,0.34,B-,1.25,0.26,B-,0.81,-0.12,C,#DIV/0!,#DIV/0!,#DIV/0!,0.88,0.09,C
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",1.00,-0.01,C,0.00,0.41,B-,1.08,0.30,B-,10.24,-0.30,C-,0.66,-0.41,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.35,-1.32,D-
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",1.01,0.06,C,2.63,-0.26,C-,2.74,0.02,C,6.44,-0.06,C,0.83,-0.07,C,0.02,0.49,B-,0.96,0.31,B-
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",1.02,0.08,C,0.00,0.41,B-,2.46,0.06,C,0.00,0.34,B-,1.09,0.43,B-,0.01,0.49,B-,0.93,0.24,C
