Regions,Disparity Ratio_Full Time_HS_FBALLM-F,Score_Full Time_HS_FBALLM-F,Grades_Full Time_HS_FBALLM-F,Disparity Ratio-Unemployment_HS_FBALLM-F,Score_Unemployment_HS_FBALLM-F,Grades_Unemployment_HS_FBALLM-F,Disparity Ratio_Poverty_HS_FBALLM-F,Score_Poverty_HS_FBALLM-F,Grades_Poverty_HS_FBALLM-F,Disparity Ratio_Working Poor_HS_FBALLM-F,Score_Working Poor_HS_FBALLM-F,Grades_Working Poor_HS_FBALLM-F,Disparity Ratio-Income_HS_FBALLM-F,Score_Income_HS_FBALLM-F,Grades_Income_HS_FBALLM-F,Disparity Ratio-Rent Burden_HS_FBALLM-F,Score_Rent Burden_HS_FBALLM-F,Grades_Rent Burden_HS_FBALLM-F,Disparity Ratio_Homeownership_HS_FBALLM-F,Score_Homeownership_HS_FBALLM-F,Grades_Homeownership_HS_FBALLM-F,Disparity Ratio_Naturalization_HS_FBALLM-F,Score_Naturalization_HS_FBALLM-F,Grades_Naturalization_HS_FBALLM-F
"Orange County (Northwest) PUMA, New York",1.00,0.44,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.77,-0.22,C,#DIV/0!,#DIV/0!,#DIV/0!,0.99,-0.16,C,0.66,-0.49,C-
"Orange County (Southeast) PUMA, New York",0.88,-0.06,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2.28,1.50,A-,#DIV/0!,#DIV/0!,#DIV/0!,1.30,0.35,B-,1.40,0.15,C
"Rockland County (North)--New City & Congers PUMA, New York",0.49,-1.74,D-,#DIV/0!,#DIV/0!,#DIV/0!,2.17,0.22,C,#DIV/0!,#DIV/0!,#DIV/0!,1.10,0.16,C,#DIV/0!,#DIV/0!,#DIV/0!,0.81,-0.45,C-,0.81,-0.36,C-
"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York",0.89,-0.02,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.82,-0.16,C,0.00,-0.87,D,1.07,-0.01,C,1.08,-0.12,C
"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York",0.74,-0.68,C-,#DIV/0!,#DIV/0!,#DIV/0!,2.94,0.52,B-,3.10,1.72,A-,0.71,-0.28,C-,3.42,1.33,A-,1.23,0.24,C,0.59,-0.55,C-
"Putnam County PUMA, New York",0.84,-0.24,C,#DIV/0!,#DIV/0!,#DIV/0!,3.47,0.72,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.66,-0.34,C-,2.47,0.72,B-,0.99,-0.14,C,0.95,-0.24,C
"Westchester County (Northwest) PUMA, New York",0.90,0.02,C,0.55,-0.30,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.71,-0.29,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.07,-0.03,C,0.87,-0.30,C-
"Westchester County (Northeast) PUMA, New York",0.91,0.05,C,0.56,-0.29,C-,2.70,0.43,B-,0.00,-0.64,C-,0.42,-0.62,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.96,-0.20,C,1.12,-0.09,C
"Westchester County (Southeast) PUMA, New York",0.90,0.00,C,#DIV/0!,#DIV/0!,#DIV/0!,0.00,-0.61,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.73,-0.26,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.92,-0.27,C-,1.18,-0.04,C
"Westchester County (Central)--White Plains City PUMA, New York",1.03,0.57,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.41,-0.45,C-,0.12,-0.54,C-,0.67,-0.33,C-,0.69,-0.43,C-,1.34,0.43,B-,1.23,0.00,C
"Westchester County (Southwest)--Yonkers City PUMA, New York",0.76,-0.61,C-,#DIV/0!,#DIV/0!,#DIV/0!,2.25,0.26,B-,0.00,-0.64,C-,0.78,-0.20,C,#DIV/0!,#DIV/0!,#DIV/0!,0.88,-0.33,C-,0.83,-0.34,C-
"Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, New York",0.83,-0.31,C-,3.31,1.24,B,1.35,-0.09,C,#DIV/0!,#DIV/0!,#DIV/0!,0.53,-0.49,C-,1.44,0.06,C,0.85,-0.38,C-,1.10,-0.11,C
"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",0.85,-0.23,C,0.00,-0.61,C-,0.22,-0.52,C-,0.61,-0.17,C,0.64,-0.36,C-,3.32,1.26,A-,1.06,-0.03,C,0.96,-0.23,C
"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",0.93,0.13,C,#DIV/0!,#DIV/0!,#DIV/0!,5.77,1.60,A-,1.85,0.77,B,0.42,-0.61,C-,0.12,-0.79,D,0.82,-0.44,C-,0.98,-0.21,C
"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",0.76,-0.61,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.97,0.15,C,#DIV/0!,#DIV/0!,#DIV/0!,0.86,-0.12,C,#DIV/0!,#DIV/0!,#DIV/0!,0.95,-0.21,C,1.01,-0.19,C
"Nassau County (West Central)--North Hempstead Town (South) PUMA, New York",1.02,0.52,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.49,-0.42,C-,0.00,-0.64,C-,1.12,0.18,C,0.00,-0.87,D,1.03,-0.09,C,1.00,-0.19,C
"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",0.78,-0.49,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.24,-0.13,C,#DIV/0!,#DIV/0!,#DIV/0!,0.40,-0.64,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.78,-0.49,C-,1.33,0.09,C
"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",0.91,0.05,C,#DIV/0!,#DIV/0!,#DIV/0!,0.96,-0.24,C,0.42,-0.32,C-,1.14,0.20,C,#DIV/0!,#DIV/0!,#DIV/0!,0.66,-0.69,C-,0.84,-0.34,C-
"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",0.94,0.19,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.47,0.58,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.00,-0.13,C,0.90,-0.28,C-
"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",0.72,-0.78,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.66,-0.34,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.00,-0.13,C,0.85,-0.32,C-
"Nassau County (Central)--Hempstead Town (East Central) PUMA, New York",0.75,-0.64,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.93,-0.03,C,#DIV/0!,#DIV/0!,#DIV/0!,1.00,-0.13,C,0.80,-0.36,C-
"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",1.01,0.50,B-,0.41,-0.38,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.57,-0.45,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.07,-0.02,C,1.12,-0.09,C
"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",0.91,0.04,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.97,0.01,C,#DIV/0!,#DIV/0!,#DIV/0!,0.96,-0.21,C,1.13,-0.08,C
"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, New York",1.00,0.42,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.46,-0.57,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.41,-1.10,D,1.18,-0.04,C
"Suffolk County (Northwest)--Huntington Town (North) PUMA, New York",0.57,-1.40,D-,0.00,-0.61,C-,0.73,-0.33,C-,0.00,-0.64,C-,3.45,2.83,A,#DIV/0!,#DIV/0!,#DIV/0!,1.45,0.61,B-,1.87,0.55,B-
"Suffolk County (Northwest)--Huntington Town (South) PUMA, New York",1.19,1.27,A-,#DIV/0!,#DIV/0!,#DIV/0!,0.00,-0.61,C-,0.00,-0.64,C-,0.55,-0.47,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.00,-0.13,C,1.06,-0.14,C
"Suffolk County (Northwest)--Smithtown Town PUMA, New York",1.13,1.00,B,0.00,-0.61,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.55,-0.46,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.89,-0.31,C-,1.29,0.05,C
