,FT Work Access,Unemployment,Poverty,Working Poor,Income,Rent Burden,Homeownership,FT Work Access,Unemployment,Poverty,Working Poor,Income,Rent Burden,Homeownership,FT Work Access,Unemployment,Poverty,Working Poor,Income,Rent Burden,Homeownership
,HS,HS,HS,HS,HS,HS,HS,HS,HS,HS,HS,HS,HS,HS,HS,HS,HS,HS,HS,HS,HS
,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,SCORES,SCORES,SCORES,SCORES,SCORES,SCORES,SCORES,GRADES,GRADES,GRADES,GRADES,GRADES,GRADES,GRADES
,,,,,,,,,,,,,,,GRADES,GRADES,GRADES,GRADES,GRADES,GRADES,GRADES
,FT Work Access_HS_Ratio,Unemployment_HS_Ratio,Poverty_HS_Ratio,Working Poor_HS_Ratio,Income_HS_Ratio,Rent Burden_HS_Ratio,Homeownership_HS_Ratio,FT Work Access_HS_SCORES,Unemployment_HS_SCORES,Poverty_HS_SCORES,Working Poor_HS_SCORES,Income_HS_SCORES,Rent Burden_HS_SCORES,Homeownership_HS_SCORES,FT Work Access_HS_GRADES,Unemployment_HS_GRADES,Poverty_HS_GRADES,Working Poor_HS_GRADES,Income_HS_GRADES,Rent Burden_HS_GRADES,Homeownership_HS_GRADES
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",1.18,0.75,1.18,2.75,0.77,0.41,0.92,0.66,0.19,0.05,-0.05,-0.18,0.29,-0.04,B-,C,C,C,C,B-,C
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",0.85,1.49,0.67,0.84,1.23,0.24,0.94,-0.34,-0.11,0.52,0.32,1.01,0.35,-0.01,C-,C,B-,B-,B,B-,C
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",0.62,0.00,1.44,0.00,0.98,1.79,0.49,-1.04,0.49,-0.19,0.48,0.37,-0.15,-0.90,D,B-,C,B-,B-,C,D
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",1.00,0.82,1.40,1.48,1.39,1.47,0.80,0.11,0.16,-0.15,0.20,1.44,-0.05,-0.29,C,C,C,C,A-,C,C-
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",0.73,1.42,1.08,0.00,0.43,1.20,0.46,-0.70,-0.08,0.14,0.48,-1.07,0.04,-0.97,C-,C,C,B-,D,C,D
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",0.95,0.00,0.61,#DIV/0!,0.82,0.00,0.87,-0.01,0.49,0.57,#DIV/0!,-0.05,0.42,-0.14,C,B-,B-,#DIV/0!,C,B-,C
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",0.84,0.36,1.04,0.64,1.01,0.64,0.69,-0.37,0.34,0.17,0.36,0.44,0.22,-0.50,C-,B-,C,B-,B-,C,C-
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",0.49,0.00,0.18,0.96,0.82,0.32,0.69,-1.43,0.49,0.96,0.29,-0.05,0.32,-0.50,D-,B-,B,B-,C,B-,C-
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",1.06,0.00,1.19,2.42,0.85,1.49,1.12,0.31,0.49,0.04,0.02,0.03,-0.06,0.35,B-,B-,C,C,C,C,B-
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",0.74,0.40,1.42,1.15,0.93,0.65,1.11,-0.66,0.33,-0.17,0.26,0.23,0.21,0.34,C-,B-,C,B-,C,C,B-
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",0.84,0.68,0.79,0.56,0.87,0.54,0.22,-0.36,0.22,0.40,0.37,0.08,0.25,-1.46,C-,C,B-,B-,C,B-,D-
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",1.00,7.37,1.45,2.77,0.65,1.44,0.67,0.11,-2.50,-0.20,-0.05,-0.51,-0.04,-0.55,C,E,C,C,C-,C,C-
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",1.10,0.76,0.94,1.68,0.86,1.22,0.71,0.43,0.18,0.26,0.16,0.06,0.03,-0.46,B-,C,B-,C,C,C,C-
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",0.68,0.37,1.20,1.83,0.56,0.73,0.81,-0.84,0.34,0.03,0.13,-0.73,0.19,-0.27,D,B-,C,C,C-,C,C-
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",1.08,0.33,0.86,0.26,0.83,0.81,0.83,0.36,0.36,0.34,0.43,-0.02,0.16,-0.22,B-,B-,B-,B-,C,C,C
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",0.92,0.00,1.27,2.08,1.02,1.71,0.47,-0.12,0.49,-0.03,0.08,0.47,-0.13,-0.95,C,B-,C,C,B-,C,D
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",1.19,1.67,1.79,4.04,0.77,1.08,0.72,0.70,-0.19,-0.51,-0.29,-0.18,0.08,-0.45,B-,C,C-,C-,C,C,C-
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",1.06,0.57,1.33,#DIV/0!,0.96,1.42,1.11,0.31,0.26,-0.09,#DIV/0!,0.31,-0.03,0.35,B-,B-,C,#DIV/0!,B-,C,B-
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",1.19,2.67,0.62,0.39,0.93,1.30,1.12,0.69,-0.59,0.56,0.40,0.24,0.01,0.36,B-,C-,B-,B-,C,C,B-
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",0.80,0.51,1.20,0.95,0.91,4.01,1.06,-0.50,0.29,0.03,0.30,0.19,-0.87,0.24,C-,B-,C,B-,C,D,C
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",0.74,2.52,1.38,2.01,0.89,1.30,1.92,-0.67,-0.53,-0.13,0.09,0.12,0.01,1.98,C-,C-,C,C,C,C,A
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",1.12,1.20,1.59,1.04,0.77,0.91,0.85,0.49,0.00,-0.32,0.28,-0.18,0.13,-0.19,B-,C,C-,B-,C,C,C
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",1.29,0.39,0.86,#DIV/0!,0.91,0.72,0.96,1.02,0.33,0.34,#DIV/0!,0.18,0.19,0.03,B,B-,B-,#DIV/0!,C,C,C
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",0.92,0.64,1.09,1.05,0.76,1.37,0.91,-0.12,0.23,0.13,0.28,-0.21,-0.02,-0.05,C,C,C,B-,C,C,C
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",0.98,0.12,0.53,0.15,0.87,0.75,1.67,0.06,0.44,0.64,0.45,0.07,0.18,1.47,C,B-,B-,B-,C,C,A-
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",1.21,0.58,0.66,0.85,0.93,0.59,0.60,0.77,0.26,0.52,0.32,0.23,0.23,-0.69,B,B-,B-,B-,C,C,C-
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",0.82,0.00,0.22,0.00,0.67,0.23,1.64,-0.41,0.49,0.92,0.48,-0.45,0.35,1.41,C-,B-,B,B-,C-,B-,A-
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",0.75,1.24,3.14,3.61,0.92,5.07,0.87,-0.64,-0.01,-1.73,-0.21,0.20,-1.21,-0.15,C-,C,D-,C,C,D,C
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",0.82,1.00,2.69,2.82,0.78,1.73,0.86,-0.41,0.09,-1.32,-0.06,-0.16,-0.13,-0.16,C-,C,D-,C,C,C,C
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",0.96,1.46,1.77,1.30,0.68,0.99,0.97,0.01,-0.10,-0.48,0.23,-0.41,0.11,0.07,C,C,C-,C,C-,C,C
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",1.00,1.01,1.31,2.27,0.90,0.92,0.82,0.13,0.08,-0.07,0.04,0.14,0.13,-0.25,C,C,C,C,C,C,C
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",0.91,1.49,2.41,2.08,0.78,2.56,1.12,-0.14,-0.11,-1.07,0.08,-0.15,-0.40,0.36,C,C,D,C,C,C-,B-
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",0.42,0.00,1.88,0.00,0.60,0.52,0.78,-1.65,0.49,-0.59,0.48,-0.64,0.26,-0.33,D-,B-,C-,B-,C-,B-,C-
