Regions,Disparity Ratio_Full Time_HS_NBWNH-FBRace,Score_Full Time_HS_NBWNH-FBRace,Grades_Full Time_HS_NBWNH-FBRace,Disparity Ratio-Unemployment_HS_NBWNH-FBRace,Score_Unemployment_HS_NBWNH-FBRace,Grades_Unemployment_HS_NBWNH-FBRace,Disparity Ratio_Poverty_HS_NBWNH-FBRace,Score_Poverty_HS_NBWNH-FBRace,Grades_Poverty_HS_NBWNH-FBRace,Disparity Ratio_Working Poor_HS_NBWNH-FBRace,Score_Working Poor_HS_NBWNH-FBRace,Grades_Working Poor_HS_NBWNH-FBRace,Disparity Ratio-Income_HS_NBWNH-FBRace,Score_Income_HS_NBWNH-FBRace,Grades_Income_HS_NBWNH-FBRace,Disparity Ratio-Rent Burden_HS_NBWNH-FBRace,Score_Rent Burden_HS_NBWNH-FBRace,Grades_Rent Burden_HS_NBWNH-FBRace,Disparity Ratio_Homeownership_HS_NBWNH-FBRace,Score_Homeownership_HS_NBWNH-FBRace,Grades_Homeownership_HS_NBWNH-FBRace
"Westchester County (Central)--White Plains City PUMA, New York",1.0424008346,0.2432427484,C,2.0255765288,-0.4046983853,C-,3.0441538799,-0.6914494143,C-,47.8614600735,-6.2063152361,E,0.5213988106,-0.6179308428,C-,0.1251716167,0.3370885452,B-,0.8795475043,0.3133811564,B-
"Westchester County (Southwest)--Yonkers City PUMA, New York",1.0213050958,0.1718408162,C,1.3144882861,-0.0892954187,C,1.8321709375,-0.0319319983,C,5.2892756988,-0.0908210841,C,0.8254548251,0.3065271899,B-,0.1109102651,0.3509544284,B-,0.5834438453,-0.3986455042,C-
"Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, New York",0.9658073324,-0.0160003189,C,3.9907133537,-1.2763342065,D-,1.8479044715,-0.0404936201,C,4.1310345567,0.0755602523,C,0.6823202024,-0.1286622008,C,0.4187908497,0.0516113973,C,0.5882782907,-0.3870203388,C-
"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",1.1852857817,0.7268599072,B-,3.6548435116,-1.1273592436,D,0.2936363461,0.8052830505,B,0.4643826706,0.6022747843,B-,0.7945428878,0.2125419129,C,#DIV/0!,#DIV/0!,#DIV/0!,0.5300272331,-0.5270939407,C-
"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",1.2798894877,1.0470614152,B,0,0.4937454477,B-,2.7740140224,-0.5444490445,C-,10.687640505,-0.8662961716,D,0.6864168946,-0.1162065354,C,0.199980282,0.2643543303,B-,0.612366913,-0.3290955522,C-
"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",0.9518078448,-0.0633838436,C,0,0.4937454477,B-,1.2467758653,0.2866188921,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.3305623229,1.8422662035,A,0.68300338,-0.2052744983,C,0.9086795846,0.3834337113,B-
"Nassau County (West Central)--North Hempstead Town (South) PUMA, New York",1.0912179208,0.4084720534,B-,0,0.4937454477,B-,0.3129501695,0.7947731642,B,#DIV/0!,#DIV/0!,#DIV/0!,0.8327581157,0.3287322619,B-,0,0.4587891429,B-,1.0572434911,0.7406784091,B-
"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",1.0374643108,0.2265342869,C,0.2199800778,0.3961733533,B-,0.4925922212,0.6970184371,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.5763767049,-0.4507749452,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.9806703826,0.556546626,B-
"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",0.8800905941,-0.3061224507,C-,2.801344138,-0.7487898646,C-,1.8162111417,-0.0232472529,C,4.6602572214,-0.0004625818,C,0.441600779,-0.8605503858,D,0.3213342948,0.146365474,C,0.7509549651,0.0041606741,C
"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",1.1173280163,0.4968458846,B-,1.4490174628,-0.1489657927,C,0.3771933435,0.7598143454,B,1.1226239156,0.5077184315,B-,0.8344175068,0.3337775079,B-,0.999283912,-0.5127845456,C-,0.7403809078,-0.0212662685,C
"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",1.0354939557,0.2198653021,C,0,0.4937454477,B-,0,0.9650693622,B,0,0.6689833534,B-,0.5947277427,-0.3949800801,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.1334572326,0.9239460393,B
"Nassau County (Central)--Hempstead Town (East Central) PUMA, New York",1.0578767205,0.2956233812,B-,2.0649119352,-0.4221455924,C-,1.1299565128,0.3501877715,B-,0,0.6689833534,B-,0.7790119891,0.1653214557,C,#DIV/0!,#DIV/0!,#DIV/0!,1.1500520064,0.9638507178,B
"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",1.130606402,0.5417887236,B-,0.8258660343,0.1274328276,C,4.190111164,-1.3150380479,D-,11.5544712313,-0.9908164027,D,0.4438243841,-0.8537896921,D,0.2941713281,0.1727752094,C,0.8173062566,0.1637125304,C
"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",1.1383876501,0.5681256134,B-,1.310006898,-0.0873077004,C,1.3471617068,0.2319925368,C,3.155126634,0.2157494224,C,0.7620519056,0.1137556761,C,0,0.4587891429,B-,1.1238092551,0.9007459976,B
"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, New York",0.7095586457,-0.8833153468,D,0.6674392625,0.1977029725,C,12.7032460107,-5.9475790682,E,7.0047377803,-0.3372472067,C-,1.0599481478,1.0194854131,B,0.096125658,0.3653290572,B-,1.0876371269,0.8137645677,B
"Suffolk County (Northwest)--Huntington Town (North) PUMA, New York",0.8507661551,-0.4053757463,C-,0,0.4937454477,B-,0.715379634,0.5757855603,B-,0,0.6689833534,B-,0.7708713242,0.140570414,C,0.1093146856,0.3525057624,B-,0.9457156962,0.4724927217,B-
"Suffolk County (Northwest)--Huntington Town (South) PUMA, New York",1.2060313347,0.7970765787,B,2.3249436406,-0.5374825736,C-,4.1333297593,-1.2841396548,D-,7.2119606103,-0.3670147656,C-,0.6033323076,-0.3688185876,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.0944296667,0.8300982716,B
"Suffolk County (Northwest)--Smithtown Town PUMA, New York",1.2538917284,0.9590678041,B,0,0.4937454477,B-,0,0.9650693622,B,0,0.6689833534,B-,0.974149,0.7586199553,B,#DIV/0!,#DIV/0!,#DIV/0!,0.8341485929,0.2042125111,C
"Suffolk County (North Central)--Brookhaven Town (North) PUMA, New York",0.7900581663,-0.6108517301,C-,0,0.4937454477,B-,3.5150365982,-0.9476868107,D,0,0.6689833534,B-,2.0217783362,3.9438532973,A,0,0.4587891429,B-,0.6315651171,-0.282930526,C-
"Suffolk County (East) PUMA, New York",1.0230765898,0.1778367237,C,0,0.4937454477,B-,2.0556394636,-0.1535355124,C,9.5807648271,-0.7072934839,C-,0.5437292319,-0.55003698,C-,0,0.4587891429,B-,0.365830987,-0.9219289964,D
"Suffolk County (South Central)--Brookhaven Town (South) PUMA, New York",1.1879408048,0.7358462612,B-,0,0.4937454477,B-,0.694158408,0.5873333863,B-,0.852123165,0.5465758635,B-,0.7796846341,0.1673665792,C,2.3824464931,-1.857591917,E,1.06255939,0.7534613034,B
"Suffolk County (Central)--Brookhaven Town (Central) PUMA, New York",1.1134693474,0.4837855974,B-,0,0.4937454477,B-,1.607463371,0.090345757,C,0,0.6689833534,B-,0.6996829924,-0.0758720242,C,#DIV/0!,#DIV/0!,#DIV/0!,0.4830650299,-0.6400217607,C-
"Suffolk County (Central)--Brookhaven Town (West Central) PUMA, New York",0.4065740251,-1.908815684,E,2.1331908499,-0.4524306836,C-,0.9014596286,0.4745275368,B-,9.7896310009,-0.7372971092,C-,0.7459099044,0.0646772105,C,#DIV/0!,#DIV/0!,#DIV/0!,1.0115393061,0.6307756867,B-
"Suffolk County (Central)--Islip Town (East) PUMA, New York",1.2596046496,0.9784041077,B,0,0.4937454477,B-,3.3488932641,-0.857277599,D,31.5709587474,-3.8661847716,E,0.6423483807,-0.2501933328,C-,1.2506269592,-0.75715783,D,0.6330005888,-0.2794787142,C-
"Suffolk County (Central)--Islip Town (Northwest) PUMA, New York",0.9706837895,0.0005048371,C,0.1277628575,0.4370762723,B-,1.0509369692,0.3931873579,B-,3.5163615584,0.1638580266,C,0.8859581609,0.4904827511,B-,0.9267634838,-0.4422751148,C-,1.0243360697,0.6615474675,B-
"Suffolk County (Southwest)--Islip Town (South) PUMA, New York",1.0875380162,0.3960168226,B-,0.7397849462,0.1656140672,C,4.3434453516,-1.3984769839,D-,15.3462252475,-1.5355018553,D-,0.587030137,-0.4183840355,C-,0,0.4587891429,B-,0.7279009577,-0.0512762226,C
"Suffolk County (Southwest)--Babylon Town (Southeast) PUMA, New York",0.9941011992,0.0797648388,C,0.8738234876,0.1061613143,C,3.7843380615,-1.0942309566,D,#DIV/0!,#DIV/0!,#DIV/0!,0.5265622443,-0.6022318348,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.9997665663,0.6024663284,B-
"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",1.0038271728,0.1126839657,C,0,0.4937454477,B-,2.8728286823,-0.5982204194,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.8242172146,0.3027643341,B-,0.7466409615,-0.2671474045,C-,0.887786429,0.3331929142,B-
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",1.06728106,0.3274538857,B-,0.0601211362,0.4670787366,B-,0.6930147856,0.5879557044,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.676308834,-0.1469392864,C,0.3493703218,0.1191068883,C,0.6053381469,-0.3459972982,C-
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",0.8321392284,-0.4684215852,C-,0.7986783711,0.1394919071,C,1.3610235478,0.2244494228,C,#DIV/0!,#DIV/0!,#DIV/0!,0.8866271385,0.4925167241,B-,0,0.4587891429,B-,2.116098434,3.2868575124,A
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",0.7544409904,-0.731403809,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.9041041731,-0.0710754713,C,#DIV/0!,#DIV/0!,#DIV/0!,0.7193787505,-0.0159886444,C,0.1214102051,0.3407456526,B-,0.6340008696,-0.2770733854,C-
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",0.9348067638,-0.1209267456,C,0.0840661238,0.4564579448,B-,1.0221369592,0.4088592848,B-,0.8378947023,0.5486197821,B-,0.6853586636,-0.1194240022,C,0.139911029,0.322757858,B-,0.5167927702,-0.5589182364,C-
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",1.1023218904,0.4460552304,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.7122024524,0.5775144679,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.7072437148,-0.0528842515,C,0.6603004611,-0.1832011332,C,#DIV/0!,#DIV/0!,#DIV/0!
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",1.2608071366,0.9824741187,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.6516204079,-0.2220024746,C,0.4325550194,0.0382289091,C,0.0637250891,-1.648388961,D-
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",0.9403007075,-0.1023316064,C,#DIV/0!,#DIV/0!,#DIV/0!,0.5054366388,0.6900289682,B-,0.4710526839,0.6013166369,B-,1.9087987051,3.6003477506,A,0.0858956957,0.3752753418,B-,#DIV/0!,#DIV/0!,#DIV/0!
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",0.836004006,-0.4553406218,C-,0.4965543802,0.2734989083,B-,1.624553098,0.0810461438,C,3.6140960367,0.1498184691,C,0.9735357769,0.7567554996,B,#DIV/0!,#DIV/0!,#DIV/0!,0.0749584029,-1.6213767351,D-
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",0.75,-0.7464350575,C-,0.9459845973,0.0741542768,C,0.4694911305,0.7095892178,B-,0.6510522204,0.575459704,B-,0.9018744733,0.5388750282,B-,0.5792166113,-0.1043657451,C,0.6064073227,-0.3434263011,C-
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",1.8358831193,2.9289115751,A,#DIV/0!,#DIV/0!,#DIV/0!,2.0972459738,-0.1761762751,C,#DIV/0!,#DIV/0!,#DIV/0!,1.2516056362,1.6022047025,A-,#DIV/0!,#DIV/0!,#DIV/0!,0.2832838056,-1.1204263541,D
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",0.9535458363,-0.0575013308,C,0.4797432156,0.2809554951,B-,1.0402732022,0.3989901953,B-,1.9185366068,0.3933855759,B-,0.4173660465,-0.9342341549,D,0.3250727383,0.1427306978,C,0,-1.8016257111,E
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",1.3908269596,1.4225471895,A-,#DIV/0!,#DIV/0!,#DIV/0!,1.2539498222,0.2827150834,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.2650847334,-1.3972333274,D-,0.1471622652,0.3157076992,B-,0.4513370782,-0.7163164864,C-
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",0.7838625702,-0.6318217248,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.9083076384,-0.0733628456,C,#DIV/0!,#DIV/0!,#DIV/0!,0.5350133137,-0.5765370333,C-,0.0031654217,0.4557114987,B-,0.2382322006,-1.2287598478,D
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",0.8616375345,-0.3685798085,C-,0.5093158068,0.2678385816,B-,0.7260629873,0.5699720646,B-,0.6338232852,0.5779346405,B-,0.8441729645,0.3634381981,B-,0.2228737431,0.2420957066,C,0.17,-1.3928346387,D-
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",0.5779363826,-1.3288121343,D-,0,0.4937454477,B-,10.1976817891,-4.5841413634,E,17.5755722361,-1.8557475432,E,0.4275713403,-0.9032057741,D,0,0.4587891429,B-,0,-1.8016257111,E
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",0.9319399404,-0.1306299718,C,0,0.4937454477,B-,1.0814323242,0.3765928852,B-,0,0.6689833534,B-,0.5525526493,-0.523210084,C-,0.009633844,0.4494224462,B-,0,-1.8016257111,E
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",1.0212772252,0.1717464839,C,0.5846192832,0.2344377483,C,1.3852832129,0.2112481878,C,#DIV/0!,#DIV/0!,#DIV/0!,0.5094472737,-0.6542685364,C-,0.0241580488,0.4353009988,B-,0,-1.8016257111,E
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",0.7645551015,-0.6971709678,C-,0,0.4937454477,B-,4.2151311987,-1.3286530486,D-,#DIV/0!,#DIV/0!,#DIV/0!,0.717633118,-0.0212961009,C,0.5761967533,-0.101429628,C,0,-1.8016257111,E
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",0.9963775639,0.0874695625,C,0.3975880145,0.3173954087,B-,0.3475421442,0.7759494589,B,0,0.6689833534,B-,0.7452080476,0.0625432707,C,0.114258573,0.3476989694,B-,0.7645040155,0.0367414436,C
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",0.6886878482,-0.9539559284,D,0,0.4937454477,B-,1.0134293287,0.4135976634,B-,0,0.6689833534,B-,0.810283464,0.2603998779,B-,0.0044855367,0.4544279905,B-,1.813989485,2.5603902112,A
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",0.9449971332,-0.0864357959,C,1.8908779987,-0.3449528946,C-,1.3394308085,0.2361994129,C,3.8071048648,0.1220927516,C,0.6848362142,-0.121012468,C,#DIV/0!,#DIV/0!,#DIV/0!,0.4946240531,-0.6122263166,C-
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",1.2692876347,1.0111777331,B,1.5052067408,-0.1738885293,C,0.9600321841,0.4426544641,B-,4.8816287336,-0.0322625988,C,0.5556746768,-0.5137178087,C-,5.0996463597,-4.4994436124,E,0.8344150757,0.2048533098,C
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",1.0568512349,0.2921524596,B-,0.3372529071,0.3441570267,B-,1.9595470941,-0.1012455098,C,4.339882848,0.0455591959,C,0.7546156517,0.0911463397,C,0.807185522,-0.3260130595,C-,0.7148163311,-0.0827402139,C
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",1.1116571832,0.477652035,B-,0,0.4937454477,B-,0.9305495106,0.458697872,B-,1.4209887698,0.4648583211,B-,0.925689709,0.6112833505,B-,0.154784926,0.3082964154,B-,0.753526336,0.0103439296,C
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",1.194257015,0.7572244938,B,0.3375854913,0.344009509,B-,2.3372203808,-0.3067616944,C-,15.1709401709,-1.5103221546,D-,0.7955588708,0.2156309282,C,0.1087155364,0.3530882971,B-,1.2407380147,1.181919133,B
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",1.2302494668,0.8790467547,B,1.5788834951,-0.2065678305,C,1.0043808826,0.4185215015,B-,0.9793124276,0.5283051263,B-,0.8513901085,0.3853813482,B-,0.0265640575,0.4329617089,B-,0.6599523473,-0.2146690773,C
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",0.9782428168,0.0260895846,C,0.8189816654,0.1304863873,C,1.0998076187,0.3665937126,B-,3.9567795369,0.1005919854,C,0.3445547537,-1.1556110764,D,0.0372304744,0.4225910725,B-,0.3474251483,-0.9661886585,D
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",0.7466745198,-0.7576906818,D,0,0.4937454477,B-,5.4439837675,-1.997350307,E,7.9684384078,-0.4756827989,C-,0.3790619626,-1.0506946635,D,0.1937340725,0.2704273319,B-,1.1230199779,0.8988480596,B
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",1.0130888391,0.1440315698,C,#DIV/0!,#DIV/0!,#DIV/0!,2.1580475508,-0.2092623009,C,3.1925833877,0.2103687598,C,0.5926930671,-0.4011663487,C-,0.1328761875,0.3295976229,B-,0.7791877569,0.0720507517,C
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",0.6767937944,-0.9942132726,D,#DIV/0!,#DIV/0!,#DIV/0!,0.3727192982,0.7622489595,B,0.1284275904,0.6505347305,B-,1.7153689664,3.0122400758,A,1.5891437861,-1.086287558,D,0.8686875,0.2872666104,B-
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",1.3210367595,1.186330996,B,#DIV/0!,#DIV/0!,#DIV/0!,2.5569958792,-0.4263555961,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.436992991,-0.8745599974,D,2.396957776,-1.8717008009,E,0.3460841625,-0.9694132646,D
