Regions,Disparity Ratio_Full Time,Score_Full Time,Grades_Full Time,Disparity Ratio_Income,Score_Income,Grades_Income,Disparity Ratio_Poverty,Score_Poverty,Grades_Poverty,Disparity Ratio_Working Poor,Score_Working Poor,Grades_Working Poor,Disparity Ratio_Homeownership,Score_Homeownership,Grades_Homeownership,Disparity Ratio_Rent Burden,Score_Rent Burden,Grades_Rent Burden,Disparity Ratio_Unemployment,Score_Unemployment,Grades_Unemployment,Score_Overall,Grades_Overall
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",1.480,1.9965708105,A,0.669662216,-0.4660020436,C-,3.7614455905,-0.4575203629,C-,10.0285382567,-1.5426568752,D-,0.8268738185,-0.1909085308,C,1.885782798,-0.0025082971,C,0,0.299550837,B-,-0.0519249232,C
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",1.001,0.0188432501,C,1.0477022885,0.0388600875,C,1.3259654264,0.3220369721,B-,0.7930547541,0.3376656836,B-,0.5582373413,-0.8742676666,D,1.1828977074,0.1799036209,C,1.6099067575,0.1387820909,C,0.0231177198,C
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",1.104,0.4413461982,B-,0.9049345215,-0.1518023432,C,1.3281016926,0.3213531882,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.7739780032,-0.3254652338,C-,1.1266171538,0.1945094845,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",1.194,0.8173361404,B,1.1613448969,0.1906266688,C,0.8346187343,0.4793090055,B-,0.7835388887,0.3396030913,B-,0.889439625,-0.0317532445,C,0.5312416337,0.3490206443,B-,0.0453101968,0.2950260635,B-,0.3484526242,B-
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",1.196,0.8247764018,B,1.5299013464,0.6828236819,B-,0.1211544807,0.7076772346,B-,0,0.4991297525,B-,1.2745269899,0.9478343812,B,0.2208932324,0.4295618991,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",1.050,0.2217086128,C,1.0359445035,0.0231578886,C,1.872909795,0.1469690324,C,2.4035698991,0.009768616,C,1.1643359083,0.6675296249,B-,2.5583716286,-0.1770577652,C,3.6761317628,-0.0675555754,C,0.1177886335,C
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",1.061,0.2670505137,B-,0.993949733,-0.0329249738,C,1.3293043784,0.3209682282,B-,7.3608247423,-0.9995167245,D,0.9688146249,0.1701613721,C,1.7408452951,0.0351057144,C,2.256684492,0.0741934774,C,-0.0235660561,C
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",0.986,-0.043465256,C,0.690511549,-0.4381583321,C-,2.5949680398,-0.0841499926,C,#DIV/0!,#DIV/0!,#DIV/0!,0.880991827,-0.0532428056,C,3.3662900188,-0.3867278025,C-,1.3885100097,0.1608912456,C,#DIV/0!,#DIV/0!
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",0.977,-0.0817689841,C,0.7622780393,-0.342316156,C-,9.2942404393,-2.2284774295,E,3.3352537115,-0.1799200007,C,0.9489022094,0.1195080463,C,#DIV/0!,#DIV/0!,#DIV/0!,0,0.299550837,B-,#DIV/0!,#DIV/0!
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",1.061,0.2642112097,B-,1.0305029984,0.015890908,C,1.007564139,0.4239520123,B-,0.5736065813,0.3823448117,B-,1.0748044449,0.4397789332,B-,0,0.4868878528,B-,0.210720463,0.2785078391,B-,0.3273676524,B-
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",1.021,0.1017788366,C,0.8645640348,-0.2057160191,C,9.9376737766,-2.4344299086,E,8.7000317269,-1.2721760934,D-,1.1003784045,0.5048341303,B-,7.6490729825,-1.4981906369,D-,4.6864686469,-0.1684499863,C,-0.7103356682,C-
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",0.860,-0.5665815434,C-,1.0076227101,-0.0146650884,C,3.1765694835,-0.2703110947,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.9471046124,0.1149353077,C,7.114888848,-1.359559794,D-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",0.946,-0.2102283051,C,0.9155034183,-0.1376878719,C,1.082316291,0.4000250721,B-,0,0.4991297525,B-,1.299533226,1.0114453997,B,1.0409934543,0.216730447,C,3.2260270864,-0.0226071558,C,0.2509724769,B-
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",0.908,-0.3688361321,C-,0.9825046333,-0.0482095899,C,1.1744824895,0.3705241806,B-,0,0.4991297525,B-,1.2965520763,1.0038619325,B,2.3786347576,-0.1304126623,C,81.7466129623,-7.8638414859,E,-0.9339691435,D
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",1.068,0.2963740536,B-,0.8817484562,-0.1827666964,C,0.8328796631,0.4798656537,B-,0.9099901348,0.3138579172,B-,1.1419245539,0.6105194825,B-,3.5195509538,-0.4265019014,C-,1.8214262322,0.1176593019,C,0.1727154016,C
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",0.776,-0.9140750124,D,0.7791950582,-0.319723942,C-,4.6746446218,-0.749820425,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.0799441961,0.4528534642,B-,4.3597926567,-0.6445604471,C-,7.5458692776,-0.4539958739,C-,#DIV/0!,#DIV/0!
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",0.990,-0.0290352774,C,0.9112342456,-0.1433892347,C,1.1929373171,0.3646170924,B-,0,0.4991297525,B-,0.7167375189,-0.4710739326,C-,1.7261253295,0.0389258227,C,0.4641102973,0.2532037861,B-,0.0731968584,C
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",0.990,-0.0280025165,C,0.9429251791,-0.1010668636,C,3.0697028157,-0.2361048236,C,3.5392813336,-0.2214595411,C,0.9339042456,0.0813561329,C,#DIV/0!,#DIV/0!,#DIV/0!,1.5460374108,0.145160221,C,#DIV/0!,#DIV/0!
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",1.074,0.3200586107,B-,0.839956195,-0.238579113,C,0,0.7464568008,B-,0,0.4991297525,B-,1.1993246604,0.7565342294,B,1.5930421938,0.0734634027,C,0,0.299550837,B-,0.3509449314,B-
