Region,FT Work Access_HS_Ratio,Unemployment_HS_Ratio,Poverty_HS_Ratio,Working Poor_HS_Ratio,Income_HS_Ratio,Rent Burden_HS_Ratio,Homeownership_HS_Ratio,FT Work Access_HS_SCORES,Unemployment_HS_SCORES,Poverty_HS_SCORES,Working Poor_HS_SCORES,Income_HS_SCORES,Rent Burden_HS_SCORES,Homeownership_HS_SCORES,FT Work Access_HS_GRADES,Unemployment_HS_GRADES,Poverty_HS_GRADES,Working Poor_HS_GRADES,Income_HS_GRADES,Rent Burden_HS_GRADES,Homeownership_HS_GRADES
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",0.76,0.00,#DIV/0!,#DIV/0!,0.62,0.48,0.00,-0.51,0.40,#DIV/0!,#DIV/0!,-0.39,0.08,-1.47,C-,B-,#DIV/0!,#DIV/0!,C-,C,D-
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",1.26,0.90,0.60,#DIV/0!,0.52,0.11,0.51,0.60,0.14,0.56,#DIV/0!,-0.63,0.16,-0.53,B-,C,B-,#DIV/0!,C-,C,C-
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",0.68,0.00,0.69,#DIV/0!,0.80,0.01,2.02,-0.69,0.40,0.52,#DIV/0!,0.05,0.18,2.23,C-,B-,B-,#DIV/0!,C,C,A
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",0.65,4.90,1.48,0.00,1.25,#DIV/0!,0.70,-0.75,-1.03,0.08,0.37,1.13,#DIV/0!,-0.19,C-,D,C,B-,B,#DIV/0!,C
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",1.32,0.00,1.58,12.53,0.73,2.93,0.85,0.72,0.40,0.03,-0.50,-0.13,-0.41,0.09,B-,B-,C,C-,C,C-,C
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",1.27,0.48,2.02,1.56,0.79,0.96,0.70,0.61,0.26,-0.22,0.26,0.01,-0.01,-0.18,B-,B-,C,B-,C,C,C
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",1.24,0.00,0.94,1.35,0.95,0.18,1.29,0.54,0.40,0.38,0.28,0.40,0.15,0.89,B-,B-,B-,B-,B-,C,B
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",0.82,0.00,1.32,#DIV/0!,0.51,0.10,0.83,-0.37,0.40,0.17,#DIV/0!,-0.66,0.16,0.06,C-,B-,C,#DIV/0!,C-,C,C
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",3.07,2.20,0.80,0.48,2.69,0.08,1.25,4.60,-0.24,0.46,0.34,4.64,0.16,0.83,A,C,B-,B-,A,C,B
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",0.66,#DIV/0!,1.24,#DIV/0!,0.29,0.08,0.27,-0.73,#DIV/0!,0.21,#DIV/0!,-1.20,0.16,-0.97,C-,#DIV/0!,C,#DIV/0!,D,C,D
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",0.00,#DIV/0!,5.77,#DIV/0!,#DIV/0!,#DIV/0!,1.85,-2.19,#DIV/0!,-2.29,#DIV/0!,#DIV/0!,#DIV/0!,1.92,E,#DIV/0!,E,#DIV/0!,#DIV/0!,#DIV/0!,A
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",0.92,#DIV/0!,3.17,#DIV/0!,0.98,0.55,1.46,-0.16,#DIV/0!,-0.85,#DIV/0!,0.49,0.07,1.21,C,#DIV/0!,D,#DIV/0!,B-,C,B
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",0.41,#DIV/0!,0.10,0.24,1.54,1.54,0.46,-1.28,#DIV/0!,0.84,0.36,1.85,-0.13,-0.62,D-,#DIV/0!,B,B-,A,C,C-
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",0.98,#DIV/0!,#DIV/0!,#DIV/0!,0.75,0.84,0.47,-0.01,#DIV/0!,#DIV/0!,#DIV/0!,-0.08,0.01,-0.60,C,#DIV/0!,#DIV/0!,#DIV/0!,C,C,C-
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",0.80,0.27,2.99,9.41,0.82,1.09,0.76,-0.41,0.32,-0.76,-0.29,0.10,-0.04,-0.08,C-,B-,D,C-,C,C,C
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",0.80,0.19,0.48,#DIV/0!,0.66,#DIV/0!,0.19,-0.42,0.35,0.63,#DIV/0!,-0.30,#DIV/0!,-1.13,C-,B-,B-,#DIV/0!,C-,#DIV/0!,D
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",1.77,1.16,0.55,#DIV/0!,0.76,0.06,0.16,1.73,0.06,0.59,#DIV/0!,-0.05,0.17,-1.18,A-,C,B-,#DIV/0!,C,C,D
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",1.34,#DIV/0!,0.71,1.41,0.83,0.33,0.70,0.77,#DIV/0!,0.51,0.27,0.12,0.11,-0.19,B,#DIV/0!,B-,B-,C,C,C
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",0.53,0.36,2.26,3.23,0.46,0.01,0.70,-1.01,0.29,-0.35,0.15,-0.78,0.18,-0.19,D,B-,C-,C,D,C,C
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",1.21,0.00,0.92,0.38,0.69,0.00,0.44,0.49,0.40,0.39,0.35,-0.23,0.18,-0.65,B-,B-,B-,B-,C,C,C-
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",1.07,0.00,0.78,0.43,0.94,0.16,0.19,0.19,0.40,0.47,0.34,0.40,0.15,-1.12,C,B-,B-,B-,B-,C,D
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",1.02,0.00,4.71,#DIV/0!,0.61,0.00,0.53,0.06,0.40,-1.70,#DIV/0!,-0.40,0.18,-0.50,C,B-,D-,#DIV/0!,C-,C,C-
