Regions,Disparity Ratio_Full Time,Score_Full Time,Grades_Full Time,Disparity Ratio_Income,Score_Income,Grades_Income,Disparity Ratio_Poverty,Score_Poverty,Grades_Poverty,Disparity Ratio_Working Poor,Score_Working Poor,Grades_Working Poor,Disparity Ratio_Homeownership,Score_Homeownership,Grades_Homeownership,Disparity Ratio_Rent Burden,Score_Rent Burden,Grades_Rent Burden,Disparity Ratio_Unemployment,Score_Unemployment,Grades_Unemployment,Disparity Ratio_Naturalization,Score_Naturalization,Grades_Naturalization
Capital Region,0.650,-1.941,E,0.967,1.109,B,1.106,0.218,C,2.764,-0.037,C,1.051,0.975,B,0.710,0.552,B-,4.392,-1.451,D-,,,
Central NY,0.879,-0.471,C-,0.551,-1.501,D-,1.824,-1.005,D,5.451,-1.241,D,0.706,-0.845,D,0.751,0.418,B-,1.362,0.219,C,,,
Finger Lakes,1.110,1.010,B,0.804,0.086,C,0.380,1.453,A-,0.773,0.854,B,1.096,1.216,B,0.420,1.489,A-,0.283,0.814,B,,,
Long Island,1.016,0.404,B-,0.802,0.074,C,1.363,-0.221,C,2.419,0.117,C,0.965,0.521,B-,0.987,-0.346,C-,0.812,0.523,B-,,,
Mid-Hudson,1.001,0.307,B-,0.971,1.138,B,1.065,0.286,B-,0.691,0.891,B,0.753,-0.598,C-,0.864,0.053,C,1.624,0.075,C,,,
Mohawk Valley,0.926,-0.172,C,0.886,0.603,B-,1.203,0.052,C,0.823,0.832,B,1.119,1.335,A-,1.368,-1.579,D-,2.024,-0.146,C,,,
New York City,0.945,-0.050,C,0.836,0.291,B-,0.976,0.438,B-,1.254,0.639,B-,0.938,0.381,B-,0.970,-0.290,C-,0.643,0.615,B-,,,
North Country,1.235,1.812,A,0.884,0.589,B-,0.515,1.223,B,0.857,0.817,B,0.703,-0.863,D,1.387,-1.641,D-,5.541,-2.085,E,,,
Southern Tier,0.896,-0.364,C-,0.516,-1.723,D-,1.531,-0.506,C-,6.174,-1.565,D-,0.738,-0.674,C-,0.687,0.625,B-,0.000,0.970,B,,,
Western NY,0.869,-0.536,C-,0.684,-0.667,C-,2.372,-1.938,E,5.595,-1.306,D-,0.592,-1.449,D-,0.658,0.720,B-,0.914,0.466,B-,,,
"St. Lawrence County PUMA, New York",1.419,1.4036133834,A-,1.1039090099,0.6818017713,B-,0.1167091116,1.0140286327,B,0.155060207,0.4476502382,B-,1.0831317263,0.2852068689,B-,0,0.4231786633,B-,0,0.4918585728,B-,,,
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",1.021,0.1902931382,C,0.8489324674,0.0194583176,C,1.1595844666,0.0675927881,C,0,0.4771897553,B-,0.8532932147,-0.1789174776,C,0,0.4231786633,B-,0,0.4918585728,B-,,,
"Warren & Washington Counties PUMA, New York",0.693,-0.8092074638,D,0.5646164251,-0.7190993065,C-,1.6705671353,-0.3961369485,C-,1.998844376,0.0964028422,C,1.2230978111,0.5678473508,B-,0,0.4231786633,B-,0,0.4918585728,B-,,,
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",1.292,1.0175462157,B,0.6376252849,-0.5294468001,C-,1.0794792693,0.1402902871,C,0,0.4771897553,B-,1.3223468187,0.7682658117,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4918585728,B-,,,
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",0.872,-0.2647720803,C-,0.8902793656,0.1268636775,C,1.7820371517,-0.4972988166,C-,0.9997349908,0.2867367087,B-,1.2706138457,0.6637988445,B-,2.2599747345,-0.30368407,C-,2.868984887,-0.6726131474,C-,,,
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",0.312,-1.9709326861,E,3.1809263333,6.0771954577,A,0,1.1199451126,B,0,0.4771897553,B-,1.108831421,0.3371035417,B-,0,0.4231786633,B-,13.0807690364,-4.8174010509,E,,,
"Jefferson & Lewis Counties PUMA, New York",1.160,0.6127767093,B-,0.6329333914,-0.5416347644,C-,0.573538477,0.5994443928,B-,5.0773459931,-0.4900625884,C-,0.4736124728,-0.9456256982,D,3.9995533097,-0.8631747664,D,10.798226129,-3.8909560641,E,,,
"Oswego County PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,0,1.1199451126,B,#DIV/0!,#DIV/0!,#DIV/0!,1.295209155,0.7134653767,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
"Onondaga County (Central)--Syracuse City PUMA, New York",1.388,1.3092829044,A-,0.5512926448,-0.7537100145,D,1.4816338378,-0.2246751874,C,2.5272125307,-0.0042531574,C,0.714399344,-0.459392784,C-,0.6412115579,0.2169494614,C,2.663932956,-0.5893860883,C-,,,
"Onondaga County (North) PUMA, New York",0.464,-1.5079595501,D-,0.5764116867,-0.6884591768,C-,1.0763191973,0.1431581325,C,14.8200055532,-2.3460736435,E,1.0770405078,0.2729065682,B-,0,0.4231786633,B-,0,0.4918585728,B-,,,
"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",1.332,1.1378499976,B,0.7350007202,-0.2764981112,C-,2.2216389976,-0.8962486453,D,40.1131498471,-7.1645069611,E,0.6343181907,-0.6211046429,C-,0,0.4231786633,B-,0,0.4918585728,B-,,,
"Cayuga & Onondaga (South) Counties PUMA, New York",0.000,-2.9211028979,E,#VALUE!,#VALUE!,#VALUE!,0,1.1199451126,B,#DIV/0!,#DIV/0!,#DIV/0!,1.3029370629,0.7290707259,B-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4918585728,B-,,,
"Wayne & Seneca Counties PUMA, New York",0.242,-2.1827516739,E,1.7279563173,2.3028671636,A,0,1.1199451126,B,0,0.4771897553,B-,0.2517577843,-1.3936279134,D-,0,0.4231786633,B-,0,0.4918585728,B-,,,
"Monroe County (East) PUMA, New York",1.203,0.7441276632,B-,1.0143401922,0.4491320539,B-,0,1.1199451126,B,0,0.4771897553,B-,1.1947605597,0.5106245284,B-,0,0.4231786633,B-,1.9160071699,-0.2858158497,C-,,,
"Monroe County (Central)--Rochester City (East) PUMA, New York",0.685,-0.8343855734,D,0.634853918,-0.536645881,C-,0.38184926,0.7734072208,B,1.0481352122,0.2775162956,B-,0.5131424458,-0.8658008562,D,0.5542181026,0.2449286684,C,0,0.4918585728,B-,,,
"Monroe County (Central)--Rochester City (West) PUMA, New York",1.180,0.6763868447,B-,0.6005586881,-0.6257333743,C-,1.0545452497,0.1629185425,C,2.0998882699,0.0771536235,C,1.2734402445,0.6695063323,B-,0.4458371922,0.2797866,B-,0,0.4918585728,B-,,,
"Monroe County (Central)--Greece & Gates Towns PUMA, New York",1.404,1.3567536464,A-,0.934492334,0.2417141259,C,0,1.1199451126,B,0,0.4771897553,B-,1.4155216461,0.9564183785,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4918585728,B-,,,
"Monroe County (North & West) PUMA, New York",1.465,1.5444840649,A-,1.5829778396,1.9262617523,A,0,1.1199451126,B,0,0.4771897553,B-,1.4097266083,0.9447161703,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4918585728,B-,,,
"Monroe County (South) PUMA, New York",1.304,1.0534829841,B,0.2608392406,-1.5082104444,D-,0,1.1199451126,B,0,0.4771897553,B-,1.3345664143,0.7929414495,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4918585728,B-,,,
