Regions,Disparity Ratio_Full Time,Score_Full Time,Grades_Full Time,Disparity Ratio_Income,Score_Income,Grades_Income,Disparity Ratio_Poverty,Score_Poverty,Grades_Poverty,Disparity Ratio_Working Poor,Score_Working Poor,Grades_Working Poor,Disparity Ratio_Homeownership,Score_Homeownership,Grades_Homeownership,Disparity Ratio_Rent Burden,Score_Rent Burden,Grades_Rent Burden,Disparity Ratio_Unemployment,Score_Unemployment,Grades_Unemployment,Disparity Ratio_Naturalization,Score_Naturalization,Grades_Naturalization
"Suffolk County (Southwest)--Babylon Town (Southeast) PUMA, New York",1.126,0.5951975939,B-,0.5660618126,-0.5864201469,C-,0,0.4804459609,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.0400181588,0.5302202616,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.5050140845,0.0252046838,C,,,
"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",0.988,-0.0598723733,C,0.737869603,-0.2549638159,C-,0,0.4804459609,B-,0,0.3395229644,B-,0.7094240311,-0.350263423,C-,0,0.4523664531,B-,1.146423618,0.117363761,C,,,
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",1.149,0.7060787692,B-,0.4561160412,-0.7985305635,D,0.822849026,0.3417080077,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.668436892,-0.4594260009,C-,0,0.4523664531,B-,0,0.4119988743,B-,,,
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",1.099,0.4684777788,B-,0.6706105747,-0.3847217895,C-,1.9701087147,0.1482722059,C,#DIV/0!,#DIV/0!,#DIV/0!,1.0716639914,0.6145037891,B-,2.3454580015,0.0224129299,C,0.8006384296,0.2062318343,C,,,
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",0.862,-0.6592049023,C-,0.8571607635,-0.0248240166,C,0.2035210332,0.4461309278,B-,0.4541471049,0.3113507814,B-,0.8254448069,-0.0412609586,C,0,0.4523664531,B-,0.3266384583,0.3280515814,B-,,,
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",1.285,1.352599394,A-,0.7691392587,-0.1946375331,C,0.979493493,0.3152966831,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.5846280719,-0.6826371608,C-,3.3322097378,-0.1584717355,C,3.1858108108,-0.4067662963,C-,,,
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",0.850,-0.7144831277,C-,0.5679937783,-0.5826929452,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",0.958,-0.2005988119,C,0.7214493455,-0.2866422298,C-,0.4693200318,0.4013154053,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.5369576391,-0.8095996044,D,0.3544020787,0.3873998572,B-,0.7897147589,0.2090392581,C,,,
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",1.839,3.9845838777,A,0.8726091652,0.0049794662,C,0.412192675,0.410947467,B-,0.2683512519,0.3228762865,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.0443818665,0.2609174215,B-,0,0.4119988743,B-,,,
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,0.3417505221,0.422824494,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",0.799,-0.955745102,D,0.3964378117,-0.9136634508,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.7905678062,-0.1341501769,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",0.902,-0.4685180474,C-,2.3818192285,2.9165891735,A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0453770044,0.4440482471,B-,#DIV/0!,#DIV/0!,#DIV/0!,,,
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",0.930,-0.332517745,C-,0.4504166582,-0.8095259704,D,1.1540316536,0.2858683598,B-,2.5378214715,0.1820938623,C,0.1024216458,-1.9669155406,E,1.3481907265,0.2052252327,C,2.3391186538,-0.189163278,C,,,
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",1.136,0.644768169,B-,0.4001005484,-0.9065971982,D,2.5771491958,0.045921044,C,2.7803465918,0.1670492611,C,0.3641307501,-1.2698959113,D-,3.4586354092,-0.1816472359,C,2.5991844719,-0.2560011558,C-,,,
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",0.892,-0.5138533438,C-,0.5617484129,-0.5947416767,C-,6.9062874262,-0.6840011634,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.0701937366,0.6105880046,B-,3.3569774954,-0.1630119935,C,0,0.4119988743,B-,,,
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",0.919,-0.3865544139,C-,0.7533331989,-0.2251310198,C,0.9053091435,0.3278046699,B-,1.2599169375,0.2613663271,B-,0.7662788211,-0.1988399379,C,1.553685288,0.1675553573,C,2.8900465946,-0.330753798,C-,,,
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",0.995,-0.0245336696,C,0.8086725035,-0.1183689061,C,0.8580549145,0.335772055,B-,1.2491646957,0.2620333227,B-,0.8751664049,0.0911644299,C,2.6883505994,-0.0404438258,C,0,0.4119988743,B-,,,
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",0.999,-0.0059656063,C,0.6567375683,-0.4114859764,C-,1.0758966533,0.2990424533,B-,10.2388495206,-0.2956252934,C-,0.345224445,-1.3202497795,D-,0.7618838899,0.312703043,B-,0,0.4119988743,B-,,,
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",1.013,0.058641753,C,0.83233905,-0.0727107514,C,2.7387963168,0.0186662379,C,6.4429890353,-0.0601560476,C,0.9583939602,0.3128274856,B-,2.6668173717,-0.0364964999,C,2.6306603174,-0.2640905646,C-,,,
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",1.016,0.0755347762,C,1.0904294491,0.4252043696,B-,2.464109355,0.0649803315,C,0,0.3395229644,B-,0.930525276,0.2386037782,C,0.1947189392,0.416671892,B-,0,0.4119988743,B-,,,
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",0.945,-0.2606337064,C-,1.4396421241,1.0989151002,B,0.9804634599,0.31513314,B-,4.6166550392,0.0531372334,C,1.1279947515,0.7645316059,B,0.8951753243,0.2882689573,B-,0,0.4119988743,B-,,,
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",1.068,0.3229715674,B-,0.6507935199,-0.4229533985,C-,5.72132287,-0.484208064,C-,10.589580888,-0.3173822707,C-,0.4856607979,-0.9462203972,D,3.8071069272,-0.2455266815,C,1.9877895578,-0.0988703998,C,,,
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",0.975,-0.1190741624,C,1.1254786005,0.4928221599,B-,0,0.4804459609,B-,0,0.3395229644,B-,0.6867131565,-0.4107501433,C-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4119988743,B-,,,
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",0.994,-0.0317642526,C,0.99252035,0.2363154334,C,2.5818438425,0.0451294946,C,1.0634037999,0.2735566593,B-,0.9328553586,0.2448095743,C,1.002669303,0.268563887,B-,0.1180198848,0.381667327,B-,,,
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",1.002,0.0057999716,C,0.7710020313,-0.1910438207,C,1.2549946859,0.2688453045,B-,2.9553480312,0.1561933677,C,1.0455377867,0.5449208924,B-,0,0.4523664531,B-,0,0.4119988743,B-,,,
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",0.665,-1.5939690587,D-,1.0527850448,0.3525797459,B-,2.7696662497,0.0134613568,C,0,0.3395229644,B-,2.3152350882,3.9265531252,A,3.1989017438,-0.1340346142,C,1.2133686386,0.1001586429,C,,,
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",0.545,-2.1630597916,E,0.7634930042,-0.205530443,C,1.7602757943,0.1836514663,C,2.2695231889,0.1987372544,C,0.8321557305,-0.0233875054,C,2.1276234229,0.0623448939,C,0.5267855071,0.2766130491,B-,,,
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",0.810,-0.9015311188,D,0.4790971337,-0.7541948056,D,2.3837248511,0.0785337067,C,3.7445337213,0.1072376803,C,0.6277980834,-0.5676608574,C-,7.155853396,-0.859396272,D,0.6498910675,0.2449744643,C,,,
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",0.940,-0.2845685244,C-,0.8034907632,-0.1283656625,C,2.2887280923,0.0945508076,C,0,0.3395229644,B-,1.0947670027,0.6760349016,B-,2.2786475886,0.0346601636,C,1.6889466906,-0.0220666768,C,,,
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",1.100,0.4725640402,B-,0.7661922471,-0.2003229892,C,2.8310543034,0.0031109126,C,0,0.3395229644,B-,1.241002889,1.0655103981,B,0,0.4523664531,B-,1.6525063406,-0.012701372,C,,,
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",0.966,-0.1636532432,C,0.7072790904,-0.3139798769,C-,5.5786946288,-0.4601599706,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.7135695789,-0.3392224308,C-,0.6877869605,0.3262859918,B-,5.6435918821,-1.038425129,D,,,
