Regions,Disparity Ratio_Full Time,Score_Full Time,Grades_Full Time,Disparity Ratio_Income,Score_Income,Grades_Income,Disparity Ratio_Poverty,Score_Poverty,Grades_Poverty,Disparity Ratio_Working Poor,Score_Working Poor,Grades_Working Poor,Disparity Ratio_Homeownership,Score_Homeownership,Grades_Homeownership,Disparity Ratio_Rent Burden,Score_Rent Burden,Grades_Rent Burden,Disparity Ratio_Unemployment,Score_Unemployment,Grades_Unemployment,Disparity Ratio_Naturalization,Score_Naturalization,Grades_Naturalization
Capital Region,0.845,-0.690,C-,1.119,2.321,A,1.086,0.688,B-,2.204,0.309,B-,1.045,1.291,A-,0.907,0.004,C,2.110,-0.565,C-,,,
Central NY,0.973,0.379,B-,0.710,-0.629,C-,1.649,-0.479,C-,3.263,-0.429,C-,0.689,-0.719,C-,0.390,1.012,B,1.329,0.251,B-,,,
Finger Lakes,1.013,0.708,B-,0.719,-0.560,C-,1.033,0.797,B,2.065,0.405,B-,1.028,1.192,B,0.529,0.740,B-,0.944,0.654,B-,,,
Long Island,0.998,0.587,B-,0.771,-0.188,C,1.474,-0.115,C,3.145,-0.347,C-,0.925,0.609,B-,1.047,-0.268,C-,0.590,1.024,B,,,
Mid-Hudson,1.006,0.654,B-,0.810,0.093,C,1.294,0.256,B-,1.940,0.492,B-,0.708,-0.614,C-,1.096,-0.365,C-,1.134,0.455,B-,,,
Mohawk Valley,0.832,-0.805,D,0.701,-0.693,C-,1.427,-0.019,C,1.529,0.778,B,1.014,1.114,B,0.786,0.240,C,2.715,-1.197,D,,,
New York City,0.998,0.585,B-,0.793,-0.031,C,1.023,0.818,B,1.658,0.688,B-,0.844,0.157,C,1.060,-0.294,C-,0.634,0.978,B,,,
North Country,0.652,-2.302,E,0.742,-0.399,C-,0.855,1.165,B,0.743,1.325,A-,0.568,-1.405,D-,2.173,-2.462,E,3.534,-2.052,E,,,
Southern Tier,0.926,-0.020,C,0.949,1.095,B,1.879,-0.955,D,4.546,-1.322,D-,0.710,-0.602,C-,0.631,0.541,B-,1.683,-0.118,C,,,
Western NY,1.036,0.903,B,0.657,-1.010,D,2.459,-2.155,E,5.378,-1.901,E,0.636,-1.021,D,0.472,0.851,B,1.024,0.570,B-,,,
"St. Lawrence County PUMA, New York",0.873,-0.3705919515,C-,0.9184587512,0.3144150211,B-,1.0045819313,0.3195534296,B-,0.2219371371,0.4670896967,B-,0.6418682232,-0.660771529,C-,2.596132287,-0.2399599837,C,0,0.6168384302,B-,,,
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",1.044,0.3522768526,B-,0.6938023211,-0.4373292825,C-,0.8838044786,0.4323494382,B-,0,0.500730726,B-,0.6352354572,-0.6784411507,C-,0,0.3845000199,B-,0,0.6168384302,B-,,,
"Warren & Washington Counties PUMA, New York",0.697,-1.1144566196,D,0.8958376604,0.2387204321,C,1.4949428926,-0.138402571,C,0.9645864175,0.3545195946,B-,1.0721625831,0.4855282954,B-,0,0.3845000199,B-,0,0.6168384302,B-,,,
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",1.209,1.0468618876,B,0.4993292786,-1.0880740747,D,1.9647925899,-0.5772027718,C-,1.8960399648,0.2133307136,C,1.2373132568,0.9254880205,B,3.4094858798,-0.4355997783,C-,0,0.6168384302,B-,,,
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",0.838,-0.5207782527,C-,0.7078452357,-0.3903389469,C-,1.5661382044,-0.2048930195,C,1.6715211971,0.2473630641,C,1.1410090111,0.6689344835,B-,0.7337772749,0.2080010942,C,4.1912322758,-1.9885384821,E,,,
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",0.644,-1.3401780655,D-,0.9948027757,0.5698770417,B-,0.6000189526,0.6973813122,B-,5.7241463529,-0.366930169,C-,1.127687811,0.6334469412,B-,0,0.3845000199,B-,9.6942418102,-5.4093496055,E,,,
"Jefferson & Lewis Counties PUMA, New York",0.334,-2.651051811,E,0.5358372434,-0.9659112923,D,0.5661270161,0.7290335378,B-,2.3119174498,0.1502923829,C,0.4761665716,-1.1021990538,D,3.1295838144,-0.3682736079,C-,6.7992536693,-3.6097511181,E,,,
"Oswego County PUMA, New York",1.046,0.3611807018,B-,0.7672376028,-0.1916004838,C,1.0894120581,0.2403292078,C,3.2406571472,0.0095148647,C,1.0181353166,0.3416002036,B-,0,0.3845000199,B-,2.3662034078,-0.8540539764,D,,,
"Onondaga County (Central)--Syracuse City PUMA, New York",1.367,1.7172078124,A-,0.5513015739,-0.9141646215,D,1.3256436672,0.0197087027,C,2.2947068133,0.1529011555,C,0.621700515,-0.7144980998,C-,0.3354589197,0.303810496,B-,1.7266939014,-0.4565185516,C-,,,
"Onondaga County (North) PUMA, New York",0.635,-1.3761568467,D-,0.8224286348,-0.0069205087,C,0.6406397959,0.6594448524,B-,2.6696622748,0.0960657478,C,1.0377424792,0.3938334865,B-,0,0.3845000199,B-,0,0.6168384302,B-,,,
"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",1.249,1.2184387088,B,1.0601206143,0.7884432899,B,0.7178552461,0.5873320996,B-,2.1230219839,0.1789249857,C,1.0852807436,0.5204749423,B-,0,0.3845000199,B-,0,0.6168384302,B-,,,
"Cayuga & Onondaga (South) Counties PUMA, New York",0.280,-2.8784827413,E,1.310215312,1.6253090068,A-,0,1.2577486774,A-,0,0.500730726,B-,1.0634462366,0.4623080363,B-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.6168384302,B-,,,
"Wayne & Seneca Counties PUMA, New York",0.219,-3.1385663999,E,1.4336472224,2.0383362924,A,0,1.2577486774,A-,0,0.500730726,B-,0.3664377037,-1.3945156484,D-,0,0.3845000199,B-,0,0.6168384302,B-,,,
"Monroe County (East) PUMA, New York",1.164,0.8572270627,B,0.744190207,-0.2687215727,C-,0,1.2577486774,A-,0,0.500730726,B-,1.1426459571,0.673295291,B-,0,0.3845000199,B-,0.845388959,0.0913230851,C,,,
"Monroe County (Central)--Rochester City (East) PUMA, New York",0.790,-0.7223800925,C-,0.7361169011,-0.2957364314,C-,0.7492639815,0.5579989758,B-,1.0251713274,0.3453361891,B-,0.9321137453,0.1124396072,C,0.7952810104,0.1932073092,C,0,0.6168384302,B-,,,
"Monroe County (Central)--Rochester City (West) PUMA, New York",1.200,1.0093014514,B,0.5950672573,-0.7677160947,D,1.6420108138,-0.2757516717,C-,3.8266187118,-0.079304656,C,0.7169203955,-0.4608333008,C-,0.4837190779,0.2681487775,B-,0,0.6168384302,B-,,,
"Monroe County (Central)--Greece & Gates Towns PUMA, New York",1.008,0.1995125111,C,0.8237967416,-0.0023425558,C,1.2761234584,0.0659564234,C,0,0.500730726,B-,1.3044152822,1.1042471376,B,#DIV/0!,#DIV/0!,#DIV/0!,6.6538685282,-3.5193760052,E,,,
"Monroe County (North & West) PUMA, New York",1.276,1.3298963909,A-,1.5621311517,2.4682686202,A,0,1.2577486774,A-,0,0.500730726,B-,1.3419740778,1.2043033893,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.6168384302,B-,,,
"Monroe County (South) PUMA, New York",1.203,1.0215368566,B,0.6174191715,-0.6929222232,C-,1.4298322833,-0.0775947242,C,4.5746728827,-0.1926940265,C,1.2546523561,0.9716792056,B,0,0.3845000199,B-,1.3461013497,-0.2199325115,C,,,
"Genesee & Orleans Counties PUMA, New York",1.006,0.1906942626,C,0.5613474432,-0.8805491802,D,1.3879593004,-0.0384888709,C,1.3485858073,0.2963133166,B-,1.2962291136,1.0824392673,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.6168384302,B-,,,
"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",1.061,0.4206017472,B-,0.3302163784,-1.6539588765,D-,2.4220617892,-1.0042538428,D,7.2887026083,-0.6040841824,C-,1.2448829811,0.9456536894,B,0,0.3845000199,B-,3.5417193562,-1.5847846805,D-,,,
