Regions,Disparity Ratio_Full Time,Score_Full Time,Grades_Full Time,Disparity Ratio_Income,Score_Income,Grades_Income,Disparity Ratio_Poverty,Score_Poverty,Grades_Poverty,Disparity Ratio_Working Poor,Score_Working Poor,Grades_Working Poor,Disparity Ratio_Homeownership,Score_Homeownership,Grades_Homeownership,Disparity Ratio_Rent Burden,Score_Rent Burden,Grades_Rent Burden,Disparity Ratio_Unemployment,Score_Unemployment,Grades_Unemployment,Disparity Ratio_Naturalization,Score_Naturalization,Grades_Naturalization
"Suffolk County (Southwest)--Babylon Town (Southeast) PUMA, New York",1.000,0.4383121809,B-,0.7333021141,-0.2582453017,C-,0.7704033771,-0.3107120664,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.0940744414,0.0197673885,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.0204771184,-0.1775195153,C
"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",1.169,1.1636324228,B,0.7122104143,-0.2822217137,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.6552419355,-0.7000941745,C-,#DIV/0!,#DIV/0!,#DIV/0!,0,-0.6071523851,C-,0.9099041534,-0.2726990739,C-
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",1.095,0.8451898041,B,0.9650839715,0.0052373641,C,0,-0.6053825073,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.4236386767,-1.0800165403,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.8373497108,-0.3351528556,C-
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",0.695,-0.8717753222,D,0.4582181224,-0.5709525354,C-,7.3243068988,2.1960807352,A,#DIV/0!,#DIV/0!,#DIV/0!,0.8602645503,-0.3637747407,C-,0.3558911855,-0.6435283306,C-,2.5256385998,0.8030045991,B,0.9408694633,-0.2460445971,C
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",0.773,-0.5380164576,C-,0.6121006991,-0.3960234363,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.9371444874,-0.2376607657,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.0434118723,-0.1577776214,C
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",0.841,-0.244905873,C,1.2247363288,0.3004023785,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.0842455078,0.0036439896,C,5.3569682452,2.5695840772,A,10.7100957702,5.3726882591,A,1.4611912994,0.2018406764,C
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",0.893,-0.0224754537,C,0.9075424748,-0.0601740841,C,0.7802652251,-0.3069400229,C-,0.6680820948,-0.1273174871,C,2.2825346355,1.9693194417,A,0.2146772825,-0.7342560155,C-,0,-0.6071523851,C-,0.9997958063,-0.1953216802,C
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",0.971,0.3122979578,B-,1.1781296894,0.2474213483,C,1.5205619687,-0.0237850234,C,0,-0.6364204067,C-,0.712530204,-0.6061184048,C-,0,-0.8721827525,D,1.373130793,0.1595170735,C,1.5444030738,0.2734681303,B-
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",0.808,-0.3852183404,C-,0.8191991626,-0.1606001126,C,4.5667382705,1.1413424156,B,6.0754050112,3.993259767,A,#DIV/0!,#DIV/0!,#DIV/0!,3.6369498218,1.464499618,A-,#DIV/0!,#DIV/0!,#DIV/0!,1.0246586967,-0.1739200751,C
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",0.969,0.304710442,B-,0.9825347293,0.0250748623,C,1.1833261659,-0.1527738436,C,0.9272983545,0.0702147557,C,#DIV/0!,#DIV/0!,#DIV/0!,0.8530807807,-0.3240919296,C-,0,-0.6071523851,C-,1.181289954,-0.0390942257,C
