Regions,Disparity Ratio_Full Time,Score_Full Time,Grades_Full Time,Disparity Ratio_Income,Score_Income,Grades_Income,Disparity Ratio_Poverty,Score_Poverty,Grades_Poverty,Disparity Ratio_Working Poor,Score_Working Poor,Grades_Working Poor,Disparity Ratio_Homeownership,Score_Homeownership,Grades_Homeownership,Disparity Ratio_Rent Burden,Score_Rent Burden,Grades_Rent Burden,Disparity Ratio_Unemployment,Score_Unemployment,Grades_Unemployment,Score_Overall,Grades_Overall
"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA; New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Cattaraugus & Allegany Counties PUMA, New York",1.278,0.9014402313,B,0.8194235826,-0.271466402,C-,0,0.3561256378,B-,0,0.3451786222,B-,1.1753481176,0.6079315891,B-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.2957885899,B-,#DIV/0!,#DIV/0!
"Chautauqua County PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Sullivan & Ulster (West) Counties PUMA, New York",1.151,0.4719301899,B-,0.8469544002,-0.2192091357,C,0,0.3561256378,B-,0,0.3451786222,B-,1.3281101614,0.9275464064,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.2957885899,B-,#DIV/0!,#DIV/0!
"Ulster County (East) PUMA, New York",0.211,-2.685169084,E,1.2831883988,0.6088228039,B-,1.927700463,0.1629381251,C,0,0.3451786222,B-,0.8097886065,-0.1569065435,C,6.5303938356,-1.445271942,D-,4.3341298701,-0.375657065,C-,-0.5065807262,C-
"Dutchess County (North & East) PUMA, New York",0.862,-0.4972314065,C-,0.7683117105,-0.3684837431,C-,5.7994556669,-0.2250758698,C,#DIV/0!,#DIV/0!,#DIV/0!,1.0165208998,0.2756269738,B-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.2957885899,B-,#DIV/0!,#DIV/0!
"Dutchess County (Southwest) PUMA, New York",1.191,0.6065537969,B-,1.3381586705,0.7131639162,B-,1.9209019948,0.1636194443,C,0,0.3451786222,B-,1.0295428955,0.3028721106,B-,0,0.5949986441,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Orange County (Northeast)--Greater Newburgh City PUMA, New York",1.125,0.3864123377,B-,0.5022328284,-0.8735379421,D,0,0.3561256378,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.9662020128,0.1703477994,C,0,0.5949986441,B-,0,0.2957885899,B-,#DIV/0!,#DIV/0!
"Orange County (Northwest) PUMA, New York",1.260,0.840827741,B,0.6149731487,-0.6595413569,C-,0,0.3561256378,B-,0,0.3451786222,B-,0.8862509423,0.0030709932,C,0,0.5949986441,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Orange County (Southeast) PUMA, New York",1.155,0.4854492865,B-,2.8134460328,3.5134615999,A,0,0.3561256378,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.888208839,0.0071673825,C,0,0.5949986441,B-,0,0.2957885899,B-,#DIV/0!,#DIV/0!
"Rockland County (North)--New City & Congers PUMA, New York",0.720,-0.9760810421,D,1.1936719441,0.4389082996,B-,12.2850990525,-0.8750447513,D,0,0.3451786222,B-,0.6483917156,-0.494587531,C-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.2957885899,B-,#DIV/0!,#DIV/0!
"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York",1.259,0.8358319187,B,0.8936443535,-0.1305852029,C,0,0.3561256378,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.1570347362,0.5696156049,B-,0,0.5949986441,B-,0,0.2957885899,B-,#DIV/0!,#DIV/0!
"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York",1.033,0.0782576893,C,0.9769488734,0.0275381975,C,6.5022845953,-0.2955109685,C-,23.4157350329,-3.9577608986,E,0.7156707904,-0.3538235777,C-,0.9962686567,0.2837375338,B-,0,0.2957885899,B-,-0.5602533478,C-
"Putnam County PUMA, New York",0.931,-0.2653726188,C-,0.5728060316,-0.7395803265,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.8024672739,-0.1722245265,C,9.9674805195,-2.5191102188,E,1.7978003105,0.0172724303,C,#DIV/0!,#DIV/0!
"Westchester County (Northwest) PUMA, New York",1.003,-0.0250057867,C,0.8401613026,-0.2321033663,C,4.3428216435,-0.0790970161,C,1.5807653527,0.054692857,C,0.8335035616,-0.1072891724,C,0,0.5949986441,B-,2.0828133263,-0.0268819345,C,0.0256163179,C
"Westchester County (Northeast) PUMA, New York",1.269,0.8702045323,B,0.5258113897,-0.8287826001,D,4.3067909422,-0.075486143,C,#DIV/0!,#DIV/0!,#DIV/0!,0.8166660099,-0.1425173671,C,0,0.5949986441,B-,1.7985004686,0.0171639614,C,#DIV/0!,#DIV/0!
"Westchester County (Southeast) PUMA, New York",1.189,0.6003941898,B-,0.5253206179,-0.8297141523,D,0,0.3561256378,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.616054173,-0.5622454224,C-,0,0.5949986441,B-,4.5330474504,-0.4064734801,C-,#DIV/0!,#DIV/0!
"Westchester County (Central)--White Plains City PUMA, New York",1.396,1.2980364736,A-,0.9614992295,-0.001787345,C,0.9087792589,0.265050905,B-,1.5881028403,0.0533445002,C,0.82526727,-0.1245214688,C,1.7243539546,0.0562641141,C,3.1331570611,-0.1896017325,C,0.1938264924,C
"Westchester County (Southwest)--Yonkers City PUMA, New York",0.817,-0.6497310254,C-,0.9151509159,-0.0897627987,C,0.9334371372,0.2625797772,B-,0,0.3451786222,B-,0.6762902704,-0.4362170663,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.9684259734,-0.0091609862,C,#DIV/0!,#DIV/0!
"Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, New York",0.925,-0.2877163372,C-,0.4817964416,-0.9123290062,D,101.4584354803,-9.8116899379,E,#DIV/0!,#DIV/0!,#DIV/0!,0.5141797732,-0.775391089,D,#DIV/0!,#DIV/0!,#DIV/0!,18.7002254197,-2.6012600637,E,#DIV/0!,#DIV/0!
"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",1.591,1.9533924752,A,0.7594967447,-0.3852157567,C-,0,0.3561256378,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.9463160675,0.1287416346,C,#DIV/0!,#DIV/0!,#DIV/0!,0,0.2957885899,B-,#DIV/0!,#DIV/0!
"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",1.122,0.3769789952,B-,0.5784498986,-0.7288674931,C-,2.4188591084,0.1137158944,C,3.5736355367,-0.3115224193,C-,0.8784096697,-0.0133348288,C,0.8019783843,0.3444390378,B-,2.4876564946,-0.0896004488,C,-0.0440273232,C
"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",1.096,0.288748623,B-,0.7427655059,-0.4169739419,C-,0.8756515403,0.2683708511,B-,0,0.3451786222,B-,0.8799218362,-0.010171014,C,1.5624401914,0.1068503263,C,1.5557810288,0.0547661833,C,0.0909670929,C
"Nassau County (West Central)--North Hempstead Town (South) PUMA, New York",1.289,0.9370008656,B,1.1811252826,0.4150930159,B-,0,0.3561256378,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.8516618164,-0.0692977502,C,0,0.5949986441,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",1.066,0.1892099214,C,0.7790224552,-0.3481532811,C-,11.8851089253,-0.834959116,D,#DIV/0!,#DIV/0!,#DIV/0!,0.7355371439,-0.3122584037,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.4271229698,0.0746979568,C,#DIV/0!,#DIV/0!
"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",1.103,0.3132427977,B-,1.014791375,0.0993684539,C,1.5618024933,0.1996071617,C,#DIV/0!,#DIV/0!,#DIV/0!,0.7052296982,-0.3756688456,C-,0,0.5949986441,B-,0,0.2957885899,B-,#DIV/0!,#DIV/0!
"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",1.040,0.1012547701,C,0.9391842896,-0.0441441603,C,0,0.3561256378,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.1910128594,0.6407059843,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.4215108158,0.0755673946,C,#DIV/0!,#DIV/0!
"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",0.981,-0.0975518924,C,0.7660025094,-0.3728669233,C-,0,0.3561256378,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.0721630035,0.3920435938,B-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.2957885899,B-,#DIV/0!,#DIV/0!
"Nassau County (Central)--Hempstead Town (East Central) PUMA, New York",1.006,-0.0129402943,C,1.5185314926,1.0555362627,B,0,0.3561256378,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.0602182913,0.3670523924,B-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.2957885899,B-,#DIV/0!,#DIV/0!
"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",1.208,0.6643935512,B-,0.5751331828,-0.7351630744,C-,0,0.3561256378,B-,0,0.3451786222,B-,0.8429395533,-0.0875468157,C,0,0.5949986441,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",1.157,0.4923182933,B-,0.7199253526,-0.4603276845,C-,0,0.3561256378,B-,0,0.3451786222,B-,0.9780240585,0.1950823529,C,#DIV/0!,#DIV/0!,#DIV/0!,0,0.2957885899,B-,#DIV/0!,#DIV/0!
"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, New York",1.303,0.9857955535,B,0.9201529319,-0.0802682866,C,0,0.3561256378,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.2557375247,-1.3161142292,D-,0,0.5949986441,B-,0,0.2957885899,B-,#DIV/0!,#DIV/0!
"Suffolk County (Northwest)--Huntington Town (North) PUMA, New York",1.241,0.7759108612,B,0.6839789334,-0.5285589164,C-,28.7404801325,-2.5241464673,E,#DIV/0!,#DIV/0!,#DIV/0!,1.1375282592,0.5288033788,B-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.2957885899,B-,#DIV/0!,#DIV/0!
"Suffolk County (Northwest)--Huntington Town (South) PUMA, New York",1.587,1.9397091604,A,0.9203946455,-0.0798094811,C,0,0.3561256378,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.0536806581,0.3533740965,B-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.2957885899,B-,#DIV/0!,#DIV/0!
"Suffolk County (Northwest)--Smithtown Town PUMA, New York",1.289,0.9355408418,B,0.7866446869,-0.3336852403,C-,0,0.3561256378,B-,0,0.3451786222,B-,0.5901104105,-0.6165259931,C-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.2957885899,B-,#DIV/0!,#DIV/0!
"Suffolk County (North Central)--Brookhaven Town (North) PUMA, New York",0.743,-0.8986137056,D,1.0129779297,0.0959262862,C,0,0.3561256378,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.1152017895,0.4820910519,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Suffolk County (East) PUMA, New York",1.335,1.0914491922,B,0.7384712302,-0.425125066,C-,0,0.3561256378,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.1267241379,0.506198567,B-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.2957885899,B-,#DIV/0!,#DIV/0!
"Suffolk County (South Central)--Brookhaven Town (South) PUMA, New York",0.979,-0.1046723844,C,0.359991715,-1.1435310776,D,3.2496158093,0.0304603141,C,3.4937729278,-0.2968466479,C-,0.9750706515,0.1889031176,C,2.8821917808,-0.3054755481,C-,9.4315068493,-1.1653453593,D,-0.3995010837,C-
"Suffolk County (Central)--Brookhaven Town (Central) PUMA, New York",1.017,0.0231117056,C,1.2719813219,0.5875502353,B-,0,0.3561256378,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.7396367294,-0.3036810881,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.888423121,0.1581536177,C,#DIV/0!,#DIV/0!
"Suffolk County (Central)--Brookhaven Town (West Central) PUMA, New York",0.896,-0.384125592,C-,1.270580107,0.5848905372,B-,3.3905586454,0.0163355076,C,#DIV/0!,#DIV/0!,#DIV/0!,0.7855799039,-0.2075569531,C,0,0.5949986441,B-,0,0.2957885899,B-,#DIV/0!,#DIV/0!
"Suffolk County (Central)--Islip Town (East) PUMA, New York",1.128,0.396652644,B-,1.2524034233,0.5503886995,B-,0,0.3561256378,B-,0,0.3451786222,B-,0.905361943,0.043055788,C,0,0.5949986441,B-,0,0.2957885899,B-,0.3688840894,B-
"Suffolk County (Central)--Islip Town (Northwest) PUMA, New York",0.820,-0.6383794244,C-,0.7521705734,-0.3991218344,C-,0.3745649652,0.3185880248,B-,0.9159432715,0.1768623812,C,1.1891653843,0.6368406235,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Suffolk County (Southwest)--Islip Town (South) PUMA, New York",0.882,-0.431293646,C-,0.6351767894,-0.6211920768,C-,1.1292064289,0.2429604519,C,#DIV/0!,#DIV/0!,#DIV/0!,0.7466607514,-0.28898515,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
