Regions,Disparity Ratio_Full Time,Score_Full Time,Grades_Full Time,Disparity Ratio_Income,Score_Income,Grades_Income,Disparity Ratio_Poverty,Score_Poverty,Grades_Poverty,Disparity Ratio_Working Poor,Score_Working Poor,Grades_Working Poor,Disparity Ratio_Homeownership,Score_Homeownership,Grades_Homeownership,Disparity Ratio_Rent Burden,Score_Rent Burden,Grades_Rent Burden,Disparity Ratio_Unemployment,Score_Unemployment,Grades_Unemployment,Score_Overall,Grades_OVERALL
Capital Region,0.547,-0.519,C-,0.967,1.109,B,1.158,0.423,B-,2.097,1.135,B,0.984,-0.350,C-,2.102,0.394,B-,4.108,2.353,A,0.650,B-
Central NY,0.762,-0.353,C-,0.551,-1.501,D-,1.407,1.030,B,2.298,1.379,A-,1.010,-0.337,C-,0.223,-0.855,D,1.076,-0.135,C,-0.110,C
Finger Lakes,0.963,-0.197,C,0.804,0.086,C,1.445,1.124,B,0.322,-1.024,D,1.082,-0.302,C-,0.940,-0.378,C-,0.163,-0.884,D,-0.225,C
Long Island,0.820,-0.308,C-,0.802,0.074,C,0.272,-1.734,D-,0.768,-0.482,C-,1.037,-0.324,C-,4.843,2.216,A,1.659,0.344,B-,-0.031,C
Mid-Hudson,0.831,-0.300,C-,0.971,1.138,B,1.212,0.555,B-,0.356,-0.983,D,1.064,-0.311,C-,1.670,0.107,C,1.680,0.361,B-,0.081,C
Mohawk Valley,1.049,-0.131,C,0.886,0.603,B-,0.876,-0.263,C-,0.382,-0.951,D,1.285,-0.204,C,#DIV/0!,#DIV/0!,#DIV/0!,0.770,-0.386,C-,#DIV/0!,#DIV/0!
New York City,0.818,-0.310,C-,0.836,0.291,B-,1.017,0.081,C,0.823,-0.415,C-,1.086,-0.301,C-,1.442,-0.044,C,0.995,-0.201,C,-0.128,C
North Country,4.876,2.829,A,0.884,0.589,B-,1.229,0.599,B-,#DIV/0!,#DIV/0!,#DIV/0!,7.600,2.842,A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Southern Tier,0.851,-0.284,C-,0.516,-1.723,D-,0.307,-1.649,D-,2.161,1.213,B,1.081,-0.303,C-,0.520,-0.657,C-,0.000,-1.018,D,-0.632,C-
Western NY,0.665,-0.428,C-,0.684,-0.667,C-,0.916,-0.166,C,1.270,0.128,C,0.858,-0.410,C-,0.330,-0.784,D,0.711,-0.434,C-,-0.394,C-
"St. Lawrence County PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,0.0629291712,-1.2314823587,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,-0.7828677296,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",0.795,-0.1298459089,C,1.1162388333,0.0986390865,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,3.3513888889,2.9729297785,A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Warren & Washington Counties PUMA, New York",0.610,-0.4592016884,C-,0.3215892077,-0.7250105758,C-,1.6221808401,0.5213392768,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.669599218,0.7058354658,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",1.000,0.2359735898,C,1.2658695146,0.2537304075,B-,0.3466693225,-0.9125178927,D,0,-0.8532286134,D,1.2,0.0728040382,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",1.071,0.3628101899,B-,1.179394434,0.1640994951,C,1.4498156815,0.3275762139,B-,0.6043337051,-0.1387364881,C,1.4055056718,0.349830796,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.7145567121,-0.3299508972,C-,#DIV/0!,#DIV/0!
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",0.204,-1.1841173809,D,5.0630994686,4.1895369172,A,0,-1.3022237374,D-,0,-0.8532286134,D,0.8141025641,-0.447395305,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Jefferson & Lewis Counties PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Oswego County PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,0,-1.3022237374,D-,#DIV/0!,#DIV/0!,#DIV/0!,1.2550143266,0.1469647191,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Onondaga County (Central)--Syracuse City PUMA, New York",1.012,0.2565853476,B-,0.8832015755,-0.1429026603,C,1.34779978,0.2128957663,C,1.6934306569,1.1488819074,B,1.2439657479,0.1320709601,C,#DIV/0!,#DIV/0!,#DIV/0!,1.9119642857,0.1251769394,C,#DIV/0!,#DIV/0!
"Onondaga County (North) PUMA, New York",0.466,-0.7169821932,C-,0.5388837264,-0.4997860854,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.1460526316,8.16435958084596E-05,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",1.000,0.2359735898,C,0.5797198673,-0.4574596656,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.4775510204,-0.9010751579,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
