Regions,Disparity Ratio_Full Time,Score_Full Time,Grades_Full Time,Disparity Ratio_Income,Score_Income,Grades_Income,Disparity Ratio_Poverty,Score_Poverty,Grades_Poverty,Disparity Ratio_Working Poor,Score_Working Poor,Grades_Working Poor,Disparity Ratio_Homeownership,Score_Homeownership,Grades_Homeownership,Disparity Ratio_Rent Burden,Score_Rent Burden,Grades_Rent Burden,Disparity Ratio_Unemployment,Score_Unemployment,Grades_Unemployment,Score_Overall,Grades_OVERALL
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",1.419,0.9480219018,B,0.725391686,-0.1342059617,C,1.9722903603,-0.1919988551,C,1.482397474,0.2696317609,B-,0.5955842284,-0.3761698938,C-,0.7920185514,0.176872203,C,0.7360414078,0.18597672,C,0.1254468393,C
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",1.298,0.6810050852,B-,0.8340017676,0.1298295407,C,1.1290136489,0.2735351149,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.9899895423,0.3468945481,B-,1.1276467718,0.0061302271,C,0.5110698484,0.2517573971,B-,#DIV/0!,#DIV/0!
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",0.834,-0.3441381033,C-,0.605178607,-0.4264488202,C-,1.1212106277,0.277842801,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.8290160055,0.0517812814,C,0.6365191935,0.2559783867,B-,0.8113546456,0.1639554664,C,#DIV/0!,#DIV/0!
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",0.954,-0.079627727,C,0.6779285588,-0.2495907443,C,1.5281764876,0.0531758206,C,#DIV/0!,#DIV/0!,#DIV/0!,1.5462709417,1.3667269019,A-,1.3049007208,-0.0840430291,C,0.3512482112,0.2984885285,B-,#DIV/0!,#DIV/0!
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",1.069,0.1747225064,C,0.8966626056,0.2821605728,B-,1.0055657047,0.3416850006,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.3857508355,-0.7608580807,D,2.3693847694,-0.6255711212,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",1.063,0.1619961172,C,0.4671452265,-0.7620135526,D,0.064412277,0.8612521671,B,#DIV/0!,#DIV/0!,#DIV/0!,1.0541828585,0.4645803467,B-,0.0293975282,0.5648354687,B-,0,0.4011919333,B-,#DIV/0!,#DIV/0!
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",0.834,-0.3434759641,C-,0.9503931784,0.4127817689,B-,2.0753587973,-0.24889816,C,1.6679570775,0.2566248403,B-,0.518794139,-0.5169493944,C-,1.9245329464,-0.3992645276,C-,0.6399295963,0.2140793836,C,-0.0893002933,C
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",0.947,-0.0944889438,C,0.7489134782,-0.0770235332,C,2.949195926,-0.7313031192,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.5396194767,-0.4787702406,C-,2.6559868307,-0.771372336,D,0.8713141902,0.1464235639,C,#DIV/0!,#DIV/0!
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",1.041,0.1142459876,C,0.5033716932,-0.6739455463,C-,3.5714739237,-1.074833947,D,3.1143313773,0.155240297,C,0.7455360025,-0.1012628578,C,0.9642419289,0.089258117,C,2.1712567325,-0.2336738171,C,-0.2464245381,C
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,0.5840421885,0.574388588,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.4305610824,-0.6787073211,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",0.960,-0.0652657292,C,0.6804261463,-0.2435190079,C,4.5780701225,-1.6305290329,D-,#DIV/0!,#DIV/0!,#DIV/0!,0.9163015413,0.2118021154,C,#DIV/0!,#DIV/0!,#DIV/0!,3.2521250548,-0.5497148768,C-,#DIV/0!,#DIV/0!
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",0.408,-1.2855533904,D-,1.020439404,0.5830669772,B-,3.7863794182,-1.1934733054,D,#DIV/0!,#DIV/0!,#DIV/0!,0.4168635781,-0.7038189966,C-,0.9628146453,0.0899842098,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
