Regions,Disparity Ratio_Full Time,Score_Full Time,Grades_Full Time,Disparity Ratio_Income,Score_Income,Grades_Income,Disparity Ratio_Poverty,Score_Poverty,Grades_Poverty,Disparity Ratio_Working Poor,Score_Working Poor,Grades_Working Poor,Disparity Ratio_Homeownership,Score_Homeownership,Grades_Homeownership,Disparity Ratio_Rent Burden,Score_Rent Burden,Grades_Rent Burden,Disparity Ratio_Unemployment,Score_Unemployment,Grades_Unemployment,Disparity Ratio_Naturalization,Score_Naturalization,Grades_Naturalization
"Suffolk County (Central)--Brookhaven Town (Central) PUMA, New York",1.063,0.4093440157,B-,0.9286840371,-0.1499028065,C,0.8686062852,0.358686041,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.7838837196,-0.277733443,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.6190206516,0.335368324,B-,,,
"Suffolk County (Central)--Brookhaven Town (West Central) PUMA, New York",1.112,0.6972294875,B-,1.4104614431,0.6310731232,B-,1.2708673859,0.2573006313,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.6165166694,-0.754481164,D,0,0.3707638295,B-,0,0.4941065811,B-,,,
"Suffolk County (Central)--Islip Town (East) PUMA, New York",0.797,-1.1725640643,D,0.9846878745,-0.059118871,C,0,0.5776085368,B-,0,0.3994654433,B-,0.8516310795,-0.0847540042,C,1.355015674,0.1581712413,C,0,0.4941065811,B-,,,
"Suffolk County (Central)--Islip Town (Northwest) PUMA, New York",0.932,-0.3704562712,C-,0.7861375844,-0.380974972,C-,0.3783728527,0.4822438927,B-,0.9705090376,0.3090598934,B-,1.0708379911,0.5396603915,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.5480148892,0.3535766519,B-,,,
"Suffolk County (Southwest)--Islip Town (South) PUMA, New York",1.088,0.5541403676,B-,0.8818901754,-0.2257570894,C,0.6577655694,0.4118260844,B-,0,0.3994654433,B-,0.978466641,0.2765391226,B-,0,0.3707638295,B-,0,0.4941065811,B-,,,
"Suffolk County (Southwest)--Babylon Town (Southeast) PUMA, New York",1.127,0.7854413233,B,0.6865765164,-0.5423665123,C-,5.0512077805,-0.6954918689,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.0902261535,0.5948878824,B-,0,0.3707638295,B-,1.001721228,0.2372306895,C,,,
"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",1.053,0.349229299,B-,0.8917423316,-0.2097864426,C,0,0.5776085368,B-,0,0.3994654433,B-,0.8340156979,-0.1349317006,C,0,0.3707638295,B-,1.0127096867,0.2344128695,C,,,
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",1.060,0.3895736356,B-,0.6201812137,-0.6499953313,C-,1.0267051202,0.3188389985,B-,0,0.3994654433,B-,0.8951715202,0.039271638,C,0,0.3707638295,B-,0,0.4941065811,B-,,,
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",0.989,-0.0298166602,C,0.8980789779,-0.1995145448,C,4.8350998725,-0.6410242886,C-,5.5541414619,-0.1179179027,C,0.9354758952,0.1540792951,C,6.1879862122,-0.6000884123,C-,1.18138631,0.1911583623,C,,,
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",0.917,-0.4561295184,C-,0.8633853531,-0.2557539732,C-,0.1282090664,0.545294876,B-,0.2237627597,0.3786213352,B-,1.06877945,0.5337966042,B-,0,0.3707638295,B-,0.3413214924,0.4065799717,B-,,,
